Date,Open,High,Low,Close,Volume,Adj Close
2003-08-08,1038.94,1053.46,1038.94,1052.05,4277400,1052.05
2003-08-07,1034.52,1040.75,1034.5,1038.94,4093800,1038.94
2003-08-06,1041.3,1042.26,1034.04,1034.53,2425600,1034.53
2003-08-05,1046.09,1046.29,1040.96,1041.3,2909800,1041.3
2003-08-04,1050.1,1050.23,1044.03,1046.1,2457800,1046.1
2003-08-01,1045.8,1050.83,1041.41,1050.11,4198000,1050.11
2003-07-31,1051.12,1051.12,1045.32,1045.8,3540600,1045.8
2003-07-30,1048.33,1053,1048.33,1051.13,4269400,1051.13
2003-07-29,1042.76,1050.54,1041.25,1048.33,18817000,1048.33
2003-07-28,1039.5,1047.77,1038.14,1042.76,10926400,1042.76
2003-07-25,1026.43,1039.5,1026.43,1039.5,5871000,1039.5
2003-07-24,1024.49,1026.79,1022.48,1026.43,2861600,1026.43
2003-07-23,1029.52,1031.25,1022,1024.49,3408800,1024.49
2003-07-22,1020.36,1030.99,1020.31,1029.52,5459000,1029.52
2003-07-21,1014.87,1022.14,1012.86,1020.36,2228400,1020.36
2003-07-18,1015.9,1018.3,1004.48,1014.87,2556400,1014.87
2003-07-17,1019.52,1027.59,1015.77,1015.9,4089800,1015.9
2003-07-16,996.92,1022.24,996.92,1019.53,8630400,1019.53
2003-07-15,983.73,1002.13,983.35,996.92,4324800,996.92
2003-07-14,987.51,989.45,981.65,983.73,2363200,983.73
2003-07-11,958.57,988.89,958.57,987.51,8797000,987.51
2003-07-10,939.48,962.21,939.48,958.57,4149200,958.57
2003-07-09,963.88,964.8,938.23,939.48,3341800,939.48
2003-07-08,987.84,987.88,961.59,963.88,4862400,963.88
2003-07-07,992.27,1008.92,987.84,987.84,4220600,987.84
2003-07-04,998.94,1005.72,961.95,992.27,6155800,992.27
2003-07-03,1011.84,1013.36,997.36,998.03,1715400,998.03
2003-07-02,1035.04,1101.85,1011.75,1101.85,5519800,1101.85
2003-07-01,1048.91,1055.01,1033.74,1035.04,5990800,1035.04
2003-06-30,1051.43,1063.07,1042.9,1048.91,3717800,1048.91
2003-06-27,1069.9,1072.65,1032.5,1051.43,8164200,1051.43
2003-06-26,1100.13,1121.84,1065.29,1069.9,17488200,1069.9
2003-06-25,1058.42,1105.01,1058.42,1100.13,38281000,1100.13
2003-06-24,1036.16,1060.75,1036.16,1058.42,22247200,1058.42
2003-06-23,994.99,1040.04,994.32,1036.16,21190600,1036.16
2003-06-20,971.35,1002.9,971.35,994.99,19344600,994.99
2003-06-19,968.51,972.65,959.77,971.35,15637600,971.35
2003-06-18,957.93,975.4,957.93,968.51,12580600,968.51
2003-06-17,935.03,959.99,935.03,957.93,12662000,957.93
2003-06-16,934.68,938.46,929.19,935.03,7746200,935.03
2003-06-13,919.05,938.27,919.05,938.27,8295800,938.27
2003-06-12,906.06,922.39,904.45,919.09,4735600,919.09
2003-06-11,918.16,918.16,905.04,906.06,3089800,906.06
2003-06-10,915.46,931.02,915.46,918.16,13923400,918.16
2003-06-09,903.1,918.27,903.1,915.46,7134600,915.46
2003-06-06,896.49,908.06,896.49,903.1,19305400,903.1
2003-06-05,877.18,898.72,877.18,896.49,7812200,896.49
2003-06-04,860.36,878.22,860.36,877.19,7788800,877.19
2003-06-03,854.42,861.04,854.42,860.36,20316400,860.36
2003-06-02,858.66,863.32,853.49,854.42,2872800,854.42
2003-05-30,853.72,860.2,853.72,858.66,6002400,858.66
2003-05-29,848.15,855.61,848.15,853.73,3562800,853.73
2003-05-28,839.95,848.75,839.95,848.16,4361000,848.16
2003-05-27,835.54,840.32,833.42,839.96,1975000,839.96
2003-05-26,836.44,838.52,833.71,835.54,2170600,835.54
